,snap_date,id_hash,days,home_region,tourists_region,city,gender,age,mou,mou_out,dou,interests,top_service,volume_sum,dl_volume_sum,ul_volume_sum
0,2022.08.01,28734f4edc34147fca045c4d00f6fe92,27,62,33,Меленки,1,35,614.285,281.155,37865.516,"[Видеоконтент, Денежные переводы, платежи, Активный отдых, Сайты знакомств, Медицинские товары, Видеоигры и игровые сервисы, Покупка авто, Туроператоры, Мессенджеры и чаты, Такси, Поисковые системы, Покупка техники и электроники, Технический трафик, Развлекательный контент, Новости и СМИ, Навигация]",[dns],5.2328512E7,3.3693652E7,1.8634866E7
1,2022.08.01,e4d8260f1e7c28d62a03ed249587bd2c,4,66,33,Меленки,1,33,,,2797.2214,"[Автозапчасти,автотовары, Навигация, Книги, электронная литература, Технический трафик, Государственный информационный портал, Сайты знакомств]",[yandex],1.4980491E7,8942397.0,6038096.5
2,2022.07.01,ba89c3e245a17ca544aef3ba58370478,15,62,33,Меленки,1,28,580.54504,445.39252,47104.81,"[Социальные сети, Такси, Программное обеспечение, Email-клиенты, Денежные переводы, платежи, Поисковые системы, Продуктовые сети, Передача и хранение данных, Навигация, Книги, электронная литература, Технический трафик, Голосовые звонки , Мобильная связь и интернет]",[vkontakte],3.3737496E7,1.7688816E7,1.6048682E7
3,2022.07.01,a6f29f28db1f31dddbb80f2dd24e724d,12,52,33,Меленки,2,29,694.64496,214.48,26263.662,"[Новости и СМИ, Навигация, Косметика, Билеты, отели, путевки, Видеоигры и игровые сервисы, Туроператоры, Государственный информационный портал, Такси, Социальные сети, Голосовые звонки , Контент на тему путешествий, Email-клиенты, Денежные переводы, платежи, Мессенджеры и чаты, Программное обеспечение, Поисковые системы, Покупка техники и электроники]",[vkontakte],1.20680656E8,8.438872E7,3.6291936E7
4,2022.07.01,ee87b77cd3411c42d509ff01d24ba113,7,36,33,Меленки,3,0,381.08,265.8775,6007.7495,"[Фитнес, бег и здоровое питание, Новости и СМИ, Афиша и билетные сервисы, Страхование , Государственный информационный портал]",[nopayload],1.49022464E8,1.10287968E8,3.8734504E7
5,2022.07.01,2c4c2276cdb3e6bd1e633c33bf4f22a0,15,52,33,Меленки,3,0,,,12.525145,,[unknowntcp],1348244.1,547092.0,801155.25
6,2022.08.01,ede38ba008d048f1c92ad1897e0d6401,5,52,33,Меленки,1,35,122.5525,48.5975,43289.758,"[Видеоконтент, Голосовые звонки , Фильмы и сериалы, ТВ, Навигация, Программное обеспечение, Технический трафик]",[kinopoisk],4.65005408E8,2.70337952E8,1.94667456E8
7,2022.08.01,0044ba142fafba511e507c70f1d2862a,13,77,33,Меленки,3,0,,,7.0977545,,[unknowntcp],2007803.8,638730.75,1369076.1
8,2022.08.01,3f41c4dcae66bae5a87b604d55427e7f,9,77,33,Меленки,2,21,359.8875,347.62003,4552.3364,[Медицинские товары],[existing],1.45110272E8,1.01747704E8,4.336258E7
9,2022.08.01,e8077871bc12e4f308edec600e7d1377,7,52,33,Меленки,1,35,340.0425,182.2975,10547.38,"[Покупка авто, Продуктовые сети, Голосовые звонки , Социальные сети, Активный отдых, Навигация, Сайты знакомств, Поисковые системы, Видеоконтент]",[vkontakte],8.4760515E9,8.2519521E9,2.24099328E8
